perturbation,method,det_rate,e2e_acc
clean,Landmark-MLP,99.04761904761905,0.9619047619047619
clean,TinyCNN(ROI),99.04761904761905,0.5142857142857142
clean,Proposed(Proto),99.04761904761905,0.9809523809523809
low_light,Landmark-MLP,95.23809523809523,0.9238095238095239
low_light,TinyCNN(ROI),95.23809523809523,0.5904761904761905
low_light,Proposed(Proto),95.23809523809523,0.9333333333333333
blur,Landmark-MLP,98.09523809523809,0.9523809523809523
blur,TinyCNN(ROI),98.09523809523809,0.5142857142857142
blur,Proposed(Proto),98.09523809523809,0.9809523809523809
noise,Landmark-MLP,93.33333333333333,0.9142857142857143
noise,TinyCNN(ROI),93.33333333333333,0.4857142857142857
noise,Proposed(Proto),93.33333333333333,0.9238095238095239
rotate,Landmark-MLP,98.09523809523809,0.8857142857142857
rotate,TinyCNN(ROI),98.09523809523809,0.4666666666666667
rotate,Proposed(Proto),98.09523809523809,0.9523809523809523
